03/24/2016,29,,,
03/25/2016,9,,,
03/26/2016,14,,,
03/27/2016,50,,,
03/28/2016,80,,,
03/29/2016,71,,,
03/30/2016,68,,,
03/31/2016,56,,,
04/01/2016,28,,,
04/02/2016,20,,,
04/03/2016,38,,,
04/04/2016,51,,,
04/05/2016,51,,,
04/06/2016,49,,,
04/07/2016,43,,,
04/08/2016,36,,,
04/09/2016,9,,,
04/10/2016,43,,,
04/11/2016,62,,,
04/12/2016,59,,,
04/13/2016,51,,,
04/14/2016,51,,,
04/15/2016,30,,,
04/16/2016,15,,,
04/17/2016,49,,,
04/18/2016,63,,,
04/19/2016,49,,,
04/20/2016,25,,,
04/21/2016,43,,,
04/22/2016,41,,,
04/23/2016,19,,,
04/24/2016,23,,,
04/25/2016,58,,,
04/26/2016,42,,,
04/27/2016,53,,,
04/28/2016,31,,,
04/29/2016,36,,,
04/30/2016,17,,,
05/01/2016,32,,,
05/02/2016,56,,,
05/03/2016,55,,,
05/04/2016,31,,,
05/05/2016,40,,,
05/06/2016,30,,,
05/07/2016,9,,,
05/08/2016,24,,,
05/09/2016,58,,,
05/10/2016,45,,,
05/11/2016,46,,,
05/12/2016,39,,,
05/13/2016,32,,,
05/14/2016,22,,,
05/15/2016,20,,,
05/16/2016,50,,,
05/17/2016,53,,,
05/18/2016,61,,,
05/19/2016,39,,,
05/20/2016,43,,,
05/21/2016,24,,,
05/22/2016,25,,,
05/23/2016,58,,,
05/24/2016,57,,,
05/25/2016,44,,,
05/26/2016,56,,,
05/27/2016,53,,,
05/28/2016,13,,,
05/29/2016,30,,,
05/30/2016,39,,,
05/31/2016,72,,,
06/01/2016,82,,,
06/02/2016,85,,,
06/03/2016,96,,,
06/04/2016,50,,,
06/05/2016,55,,,
06/06/2016,92,,,
06/07/2016,81,,,
06/08/2016,63,,,
06/09/2016,90,,,
06/10/2016,44,,,
06/11/2016,8,,,
06/12/2016,13,,,
06/13/2016,21,,,
06/14/2016,15,,,
06/15/2016,41,,,
06/16/2016,48,,,
06/17/2016,25,,,
06/18/2016,7,,,
06/19/2016,15,,,
06/20/2016,18,,,
06/21/2016,13,,,
06/22/2016,34,,,
06/23/2016,14,,,
06/24/2016,8,,,
06/25/2016,1,,,
06/26/2016,12,,,
06/27/2016,37,,,
06/28/2016,26,,,
06/29/2016,33,,,
06/30/2016,17,,,
07/01/2016,29,,,
07/02/2016,15,,,
07/03/2016,7,,,
07/04/2016,7,,,
07/05/2016,16,,,
07/06/2016,21,,,
07/07/2016,18,,,
07/08/2016,14,,,
07/09/2016,11,,,
07/10/2016,21,,,
07/11/2016,42,,,
07/12/2016,31,,,
07/13/2016,19,,,
07/14/2016,10,,,
07/15/2016,13,,,
07/16/2016,6,,,
07/17/2016,7,,,
07/18/2016,22,,,
07/19/2016,12,,,
07/20/2016,22,,,
07/21/2016,20,,,
07/22/2016,17,,,
07/23/2016,13,,,
07/24/2016,8,,,
07/25/2016,13,,,
07/26/2016,15,,,
07/27/2016,18,,,
07/28/2016,12,,,
07/29/2016,7,,,
07/30/2016,6,,,
07/31/2016,11,,,
08/01/2016,22,,,
08/02/2016,26,,,
08/03/2016,19,,,
08/04/2016,17,,,
08/05/2016,10,,,
08/06/2016,5,,,
08/07/2016,7,,,
08/08/2016,11,,,
08/09/2016,17,,,
08/10/2016,10,,,
08/11/2016,22,,,
08/12/2016,7,,,
08/13/2016,6,,,
08/14/2016,1,,,
08/15/2016,10,,,
08/16/2016,11,,,
08/17/2016,7,,,
08/18/2016,9,,,
08/19/2016,19,,,
08/20/2016,6,,,
08/21/2016,9,,,
08/22/2016,16,,,
08/23/2016,4,,,
08/24/2016,12,,,
08/25/2016,26,,,
08/26/2016,10,,,
08/27/2016,6,,,
08/28/2016,12,,,
08/29/2016,23,,,
08/30/2016,4,,,
08/31/2016,32,,,
09/01/2016,41,,,
09/02/2016,16,,,
09/03/2016,9,,,
09/04/2016,8,,,
09/05/2016,16,,,
09/06/2016,27,,,
09/07/2016,27,,,
09/08/2016,34,,,
09/09/2016,24,,,
09/10/2016,37,,,
09/11/2016,43,,,
09/12/2016,61,,,
09/13/2016,53,,,
09/14/2016,46,,,
09/15/2016,51,,,
09/16/2016,63,,,
09/17/2016,96,,,
09/18/2016,132,,,
09/19/2016,167,,,
09/20/2016,145,,,
09/21/2016,179,,,
09/22/2016,140,,,
09/23/2016,91,,,
09/24/2016,61,,,
09/25/2016,101,,,
09/26/2016,116,,,
09/27/2016,107,,,
09/28/2016,96,,,
09/29/2016,80,,,
09/30/2016,57,,,
10/01/2016,46,,,
10/02/2016,60,,,
10/03/2016,76,,,
10/04/2016,78,,,
10/05/2016,62,,,
10/06/2016,67,,,
10/07/2016,36,,,
10/08/2016,32,,,
10/09/2016,48,,,
10/10/2016,78,,,
10/11/2016,54,,,
10/12/2016,48,,,
10/13/2016,65,,,
10/14/2016,57,,,
10/15/2016,34,,,
10/16/2016,74,,,
10/17/2016,81,,,
10/18/2016,53,,,
10/19/2016,60,,,
10/20/2016,65,,,
10/21/2016,48,,,
10/22/2016,29,,,
10/23/2016,54,,,
10/24/2016,74,,,
10/25/2016,50,,,
10/26/2016,61,,,
10/27/2016,43,,,
10/28/2016,53,,,
10/29/2016,23,,,
10/30/2016,62,,,
10/31/2016,60,,,
11/01/2016,79,,,
11/02/2016,58,,,
11/03/2016,57,,,
11/04/2016,38,,,
11/05/2016,17,,,
11/06/2016,47,,,
11/07/2016,64,,,
11/08/2016,58,,,
11/09/2016,40,,,
11/10/2016,43,,,
11/11/2016,20,,,
11/12/2016,15,,,
11/13/2016,45,,,
11/14/2016,61,,,
11/15/2016,50,,,
11/16/2016,66,,,
11/17/2016,50,,,
11/18/2016,51,,,
11/19/2016,32,,,
11/20/2016,47,,,
11/21/2016,70,,,
11/22/2016,37,,,
11/23/2016,19,,,
11/24/2016,4,,,
11/25/2016,5,,,
11/26/2016,18,,,
11/27/2016,39,,,
11/28/2016,72,,,
11/29/2016,61,,,
11/30/2016,69,,,
12/01/2016,64,,,
12/02/2016,46,,,
12/03/2016,27,,,
12/04/2016,40,,,
12/05/2016,32,,,
12/06/2016,53,,,
12/07/2016,55,,,
12/08/2016,46,,,
12/09/2016,40,,,
12/10/2016,52,,,
12/11/2016,9,,,
12/12/2016,34,,,
